Broker,Company,Recommendation,Profit_Potential,Reporting_Date
HDFC Securities,Infosys,Buy,12.5,2024-12-01
HDFC Securities,Tata Motors,Sell,-8.2,2024-11-25
ICICI Direct,Reliance Industries,Buy,15.3,2024-12-05
ICICI Direct,HDFC Bank,Buy,10.1,2024-12-10
Kotak Securities,Larsen & Toubro,Buy,18.4,2024-12-03
Kotak Securities,Bajaj Finance,Sell,-5.6,2024-11-15
Motilal Oswal,TCS,Buy,9.8,2024-12-08
Motilal Oswal,SBI,Buy,11.7,2024-11-30
Axis Direct,Adani Ports,Buy,14.2,2024-12-12
Axis Direct,Hindustan Unilever,Sell,-4.5,2024-11-20
Edelweiss,Tech Mahindra,Buy,16.7,2024-12-06
Edelweiss,ITC,Sell,-6.8,2024-11-28
Sharekhan,Wipro,Buy,13.2,2024-12-04
Sharekhan,Asian Paints,Buy,12.9,2024-11-27
JM Financial,Bharti Airtel,Buy,15.1,2024-12-07
JM Financial,Maruti Suzuki,Buy,10.9,2024-12-09
Angel Broking,HCL Technologies,Buy,17.5,2024-12-11
Angel Broking,UltraTech Cement,Sell,-7.2,2024-11-22
Geojit Financial Services,Pidilite Industries,Buy,14.3,2024-12-13
Geojit Financial Services,Lupin,Sell,-3.9,2024-11-18
